24,4.83,4.775,11.11
22,5.21,5.085,16.88
35,3.39,5.248,34
36,3,5.902,38.44
32.22,3.94,4.891,28.89
29,3.26,5.538,23.11
38.67,2.75,5.98,37.77
24.5,4.75,4.651,13.45
20,6,4.749,12.01
42,2.24,5.471,48.88
30,3.3,5.085,27.21
26,4.04,5.405,20
36.67,3.38,5.844,31.11
25,5.07,5.014,15.93
34,2.92,4.865,37.87
20,6.15,4.749,12.04
30,3.3,5.521,28.5
30,3.63,5.31,29.3
32,3.05,5.521,36.63
25,5.07,5.014,17.48
40,2.41,5.714,46.67
30.5,3.13,5.341,21.44
35,2.75,5.521,33.33
36,3,5.488,35.55
35,2.8,5.678,50.73
20,5.84,4.852,13.29
20,5.54,4.945,13.85
24,4.02,4.639,10.08
20,7.15,4.615,10.4
38,2.49,5.233,46.67
26,4.64,5.158,18.18
32,2.67,4.813,20.81
35,2.67,5.538,34.22
24,4.63,4.813,15.11
31.67,3.94,6.02,31.11
38,2.75,5.844,39.07
35,3.76,5.279,28.88
36,2.37,5.757,37.5
20,6.04,4.523,7.97
38,2.36,5.573,42.04
35,3.53,5.422,32.78
22,5.27,4.749,15.87
38,2.88,5.373,38.67
38,2.75,5.66,32.44
30,3.81,5.556,22.22
33.66,2.67,5.732,39.71
32,3.62,5.279,30.78
38,2.67,4.5557,36.44
36.2,2.87,4.823,34.2
20,8.11,4.627,9.7
25,4.53,5.31,17.77
38,2.49,5.902,35.55
38.5,2.24,4.762,31.44
20,6.96,4.663,9.54
26,4.78,5.405,20.91
30.44,3.3,5.643,18.67
30,3.76,5.471,27.5
29,3.69,4.945,14.08
36,3.76,5.521,28.69
20,4.7,4.905,14.5
34.75,2.87,5.902,28.59
28,3.76,5.263,20.88
34,3.13,5.488,28.89
45.42,2.49,4,49.77
20,7.24,4.675,8.21
32,3.05,5.521,25.77
30,3.39,5.521,25.77
20,7.24,4.775,10.78
30,3.68,5.788,35.56
31.5,3.3,5.696,28.95
38,2.49,5.31,41.58
24,5.47,5.085,17.89
35.2,3.25,5.714,37.8
24.25,4.02,5.405,20.88
24,5.27,5.59,20.88
30,3.39,5.279,27.55
35,3.13,5.556,33.33
20,7.15,4.604,8.7
38,3,5.66,45.33
28,4.76,5.678,28.81
30,3.76,5.471,26.52
20,6.1,4.945,14.95
28,4.02,5.471,26.67
28,4.22,5.59,22.22
35.5,2.75,5.902,42.34
34,3,5.696,31.11
29,3.26,5.732,29.18
25,4.66,5.325,17.77
22,5.27,5.158,20.86
29,3.76,5.863,27.21
24,4.58,4.945,13.45
20,7.24,4.945,13.99
20,6.15,4.775,12.99
20,7.39,4.534,10.53
23.5,5.19,5.455,15.7
36,2.87,5.607,40.32
37.25,2.75,5.921,46.67
22,5.03,4.945,17.77
26.5,4.52,5.263,19.11
38.25,2.49,4.688,33.21
33,2.75,5.844,26.5
30,3.3,5.505,25.33
20,7.09,4.627,10.38
29,3.81,5.573,28.28
38,2.75,5.573,37.89
20,5.21,4.852,16
25,4.45,4.8,12.99
32,3.25,5.389,29
22,5.21,4.663,9.33
42,2.34,5.357,49.15
20,6.66,4.8,13.4
31.5,4.02,5.625,24.44
29.5,3.68,5.573,27.62
35.75,3.25,5.233,28.89
30.6,3.43,5.788,35.5
