26,4.02,4.918,32.31
38.25,2.49,4.688,33.21
38,2.75,3.869,35.26
38.5,2.24,4.762,31.44
36.2,2.87,4.823,34.2
30.12,3.3,5.607,32.1
30.6,3.43,5.788,35.5
31.2,3.43,5.788,54.46
34.6,3.39,5.59,34.26
32,3.05,5.521,36.63
32.5,3.02,6.143,51.86
36,2.12,3.16,37.9
30,3.26,4.018,17.89
35.5,2.75,5.902,42.34
38,2.75,5.806,39
35,2.8,5.678,50.73
30.25,3.46,5.042,31.13
29,3.26,5.732,29.18
37.3,2.67,6.203,55.2
29.67,3.77,4.959,18.17
32,3.25,5.389,29
38,2.75,6.207,54
30,3.41,5.806,34
29.7,3.76,5.233,22.04
30.5,3.13,5.341,21.44
38,1.61,6.061,42.21
32.8,2.95,5.941,33.85
34,2.92,4.865,37.87
32,2.92,5.678,32.75
34.75,2.87,5.902,28.59
36,3.76,5.521,28.69
34,3.51,5.902,32.16
36,3.76,5.538,24.02
29,3.51,5.085,28.37
28,4.76,5.678,28.81
30,3.3,5.085,27.21
29,3.81,5.573,28.28
28,4.45,5.902,24.12
32,3,5.353,32.56
35.2,3.25,5.714,37.8
31,3.38,5.696,24.14
34.25,2.75,5.696,28.17
35.1,2.62,5.483,31.18
28,3.38,5.696,16.53
40.2,1.98,5.438,42.61
33.2,2.44,5.696,36.35
33.66,2.67,5.732,39.71
29,3.76,5.863,27.21
32,3.25,5.714,24
36,2.49,5.488,35.13
30,3.43,5.66,28.44
28,3.81,5.643,26.4
30,3.3,5.521,28.5
33.5,2.75,5.732,32.33
25,4.9,5.643,17.77
22,5.21,5.085,16.88
24,4.83,4.852,16
22,5.03,4.945,17.77
38.67,2.75,5.98,37.77
31.5,4.02,5.625,24.44
29,3.26,5.538,23.11
26,4.19,5.538,17.77
30.9,3.13,5.172,22.22
30.44,3.3,5.643,18.67
38,2.03,5.863,37.77
38,2.67,4.5557,36.44
38,3.25,4.627,35.55
30,3.76,5.471,26.52
38,2.49,4.7,38.1
45.42,2.49,4,49.77
31.67,3.94,6.02,31.11
30,3.3,5.217,24.44
28,4.52,5.556,26.9
38,3,5.844,41.22
36,2.49,5.696,42.44
28,5.03,5.099,31.11
26.5,4.52,5.263,19.11
34,3.13,5.488,20
38,2.75,5.438,36.44
34,3,5.696,31.11
36,3.05,5.422,37.77
38,2.75,5.844,42.22
34,2.87,5.696,22.22
30,3.76,5.806,21.33
36,3,5.788,34.67
28,4.02,5.471,26.67
35,3.13,5.902,44.42
35.75,3.25,5.233,28.89
32.22,3.94,4.891,28.89
37.5,2.64,5.422,31.55
35,2.87,5.98,30.67
36.75,2.77,5.902,44.44
37.25,2.75,5.921,46.67
30,3.68,5.788,35.56
36.67,3.38,5.844,31.11
34,3.76,5.521,26.67
35,3.18,5.625,31.11
35,3.76,5.279,28.88
35,3,5.573,33.33
38,2.49,5.233,46.67
36,3,5.488,35.55
30,3.39,5.521,25.77
32,3.05,5.521,25.77
38,2.49,5.902,35.55
35,3.25,5.66,33.33
36,3.13,5.556,37.77
35,3.25,5.844,29.77
35,3.13,5.556,33.33
30,3.94,4.878,20
33.67,3.26,5.714,32.44
38,2.75,5.66,32.44
38,2.12,5.921,37.77
30,3.81,5.556,22.22
35,3.13,5.66,33.77
40,2.12,6.04,48.5
34,3.13,5.488,28.89
38,2.67,5.96,42.22
38,2.37,5.471,42.22
30,3.38,5.158,17.77
36,3.13,5.471,33.33
32,3.63,5.172,25.33
42,2.24,5.471,48.88
40,2.41,5.714,46.67
40,2.67,5.732,41.77
35,3.51,5.825,34.22
30,3.77,5.341,35.55
35,3,6,33.33
38,2.88,5.373,38.67
32,3.26,5.217,28
40,2.31,5.732,46.67
36,3.05,5.844,42.22
30,3.77,5.279,28.88
25,4.53,5.31,17.77
30,3.39,5.279,27.55
35,2.75,5.521,33.33
30,3.91,5.056,19.55
35,3.77,5.573,33.33
35,3.77,5.248,28
28,4.22,5.59,22.22
38,2.41,5.806,43.11
40,2.36,5.921,47.11
30,3.38,5.099,26.26
30,3.3,5.505,25.33
30,3.38,5.844,27.11
35,2.67,5.538,34.22
36,3,5.59,37.77
26,4.58,5.202,15.55
30,3.56,5.172,26.22
42,2.04,5.921,50.22
40,2.17,5.96,47.11
35,3.39,5.248,34
38,3,5.66,45.33
30,3.51,5.014,28
32.5,3.77,5.732,38.67
24.25,4.02,5.405,20.88
38.375,2.75,5.769,50.66
40,2.26,5.678,44.44
31.5,3.31,5.505,28.88
30.5,3.39,5.014,16.88
36.25,2.24,5.521,33.07
35.5,2.5,5.505,35.55
35,1.99,5.172,37.77
26,3.38,5,26.22
32.5,3,5.422,33.33
28,3.76,5.263,20.88
33,2.75,5.844,26.5
30,3.31,5.921,22.22
36,2.67,5.643,38.52
38.5,2.42,5.678,44.26
36,2.44,5.056,35.06
28,4.9,5,20
26,4.04,5.405,20
30,3.31,5.696,23.11
24,4.83,4.775,11.11
28,4.58,5.294,26.67
36,2.37,5.757,37.5
28,3.82,4.825,17.67
28,4.2,5.505,19.72
29,3.69,4.945,14.08
24,4.63,4.813,15.11
24,4.58,4.878,15.55
25,4.66,5.325,17.77
24,4.07,4.615,15.55
22,5.21,4.663,9.33
24,4.58,4.945,13.45
30,3.44,5.341,26.01
32,2.67,4.813,20.81
28,3.94,4.663,13.31
20,5.21,4.852,16
30,3.43,5.056,21.26
23.5,5.19,5.455,15.7
25,4.45,4.8,12.99
24.5,4.75,4.651,13.45
31.5,3.3,5.696,28.95
20,5.84,4.627,9.58
24,5.08,5.014,16.5
32,2.75,4.724,23.55
22,4.57,4.5,13.18
30,3,5.233,22.22
40,2.44,5.66,49
36,2.49,5.422,38
36.5,3.1,5.769,39.82
35,2.36,5.389,32.5
36,3.05,5.438,38.91
32,3.3,5.863,30.82
42,2.36,5.573,48
35,3.63,5.573,32.49
38,2.75,5.373,43
38,2.36,5.573,42.04
34,3.51,5.373,35.45
36,3.05,6.272,42.1
38,2.87,5.352,44.63
36,2.82,5.505,36.19
38,2.49,5.31,41.58
38,2.67,6.102,42.75
34,3.26,5.202,34.41
22,4.66,5.643,14.15
38,2.75,5.573,37.89
36,3.51,6.102,32.89
42,2.34,5.357,49.15
38,2.67,5.573,43.88
31,3.38,5.521,35.8
29.5,3.68,5.573,27.62
36,2.24,5.438,39.61
24,4.27,5.279,15.87
22,5.03,4.813,16.47
22,5.42,4.672,11.72
24,4.02,4.639,10.08
25,3.94,5.607,16.5
20,5.54,4.945,13.85
32,3.51,5.678,30.81
28.5,3.43,5.607,20.21
36,2.87,5.607,40.32
36.5,2.67,5.488,36.06
36,3,5.902,38.44
38,2.75,5.844,39.07
38.5,2.62,5.788,43.37
44,2.39,5.751,42.42
36,2.49,5.788,33.89
28,3.38,5.696,28.9
26,4.02,5.371,25.45
22,4.55,4.945,14.91
20,5.21,4.627,11.18
28,4.02,5.373,26.09
30,3.63,5.31,29.3
22,4.57,4.945,13.34
24,4.14,5.643,16.43
22,4.52,4.639,10.44
22,4.35,4.945,14.13
20,6.04,4.523,7.97
20,6.1,4.627,9.11
